"","LSOA21CD","IMD_2025_decile","IMD_2025_score"
"20739","E01021839",5,20.959
"20740","E01021840",3,30.026
"20741","E01021841",5,20.756
"20742","E01021842",4,25.202
"20743","E01021843",5,19.865
"20744","E01021844",4,24.787
"20745","E01021845",3,28.367
"20746","E01021846",2,37.648
"20747","E01021847",5,21.487
"20748","E01021848",3,29.051
"20749","E01021849",4,25.544
"20750","E01021850",3,28.48
"20751","E01021851",3,29.628
"20752","E01021852",4,24.895
"20753","E01021853",5,17.951
"20754","E01021854",5,17.767
"20755","E01021855",6,16.281
"20756","E01021856",6,14.813
"20757","E01021858",4,24.644
"20758","E01021859",3,32.374
"20759","E01021860",3,33.154
"20760","E01021861",5,20.191
"20761","E01021862",4,25.302
"20762","E01021863",4,24.64
"20763","E01021864",3,33.115
"20764","E01021865",4,24.993
"20765","E01021866",4,23.055
"20766","E01021867",8,9.712
"20767","E01021868",4,23.828
"20768","E01021869",5,19.116
"20769","E01021870",4,23.756
"20770","E01021871",3,33.285
"20771","E01021873",6,14.435
"20772","E01021874",4,21.617
"20773","E01021875",6,16.236
"20774","E01021878",8,9.404
"20775","E01021879",6,15.907
"20776","E01021880",5,20.64
"20777","E01021881",7,11.847
"20778","E01021882",7,12.367
"20779","E01021883",8,8.562
"20780","E01021884",6,16.198
"20781","E01021885",9,8.262
"20782","E01021886",8,9.651
"20783","E01021887",9,8.066
"20784","E01021888",3,27.649
"20785","E01021889",4,23.366
"20786","E01021890",4,22.635
"20787","E01021891",8,11.119
"20788","E01021892",3,27.079
"20789","E01021893",10,4.163
"20790","E01021894",5,20.801
"20791","E01021895",6,14.421
"20792","E01021896",8,8.454
"20793","E01021897",9,7.051
"20794","E01021898",7,13.578
"20795","E01021899",7,13.121
"20796","E01021900",5,18.166
"20797","E01021901",4,22.881
"20798","E01021902",8,10.522
"20799","E01021903",6,14.905
"20800","E01021904",6,16.754
"20801","E01021905",4,24.879
"20802","E01021906",5,20.049
"20803","E01021907",3,26.616
"20804","E01021908",6,17.283
"20805","E01021909",5,19.535
"20806","E01021910",4,22.897
"20807","E01021911",8,10.793
"20808","E01021912",9,7.386
"20809","E01021913",6,16.342
"20810","E01021914",8,10.136
"20811","E01021915",4,24.281
"20812","E01021916",6,15.93
"20813","E01021917",5,17.898
"20814","E01021918",10,4.635
"20815","E01021919",10,5.24
"20816","E01021920",6,14.688
