"LSOA11CD","IMD_2019_decile","IMD_2019_score"
"E01005139",3,32.161
"E01005327",4,23.135
"E01005440",3,28.761
"E01005522",3,32.253
"E01005389",1,47.37
"E01028610",9,8.238
"E01028860",9,7.013
"E01000151",2,38.897
"E01028576",2,41.782
"E01028417",8,10.025
"E01028562",8,10.133
"E01028421",9,8.159
"E01028401",9,6.065
"E01006416",1,63.536
"E01000186",10,5.195
"E01006431",3,29.686
"E01006275",1,55.343
"E01000166",6,14.861
"E01000222",3,27.098
"E01000133",3,30.774
"E01029441",8,9.343
"E01029497",5,18.195
"E01029366",10,4.664
"E01029564",2,40.605
"E01028402",7,13.794
"E01028464",10,4.36
"E01028476",10,4.35
"E01028525",3,26.724
"E01028549",8,11.125
"E01028759",8,8.776
"E01028570",7,13.076
"E01012884",2,39.706
"E01029346",2,37.579
"E01029357",3,29.764
"E01028537",9,6.802
"E01000335",3,31.73
"E01000342",8,8.918
"E01005687",4,24.442
"E01005768",8,10.562
"E01000516",5,19.417
"E01000315",3,32.727
"E01028397",10,3.862
"E01000322",6,14.866
"E01006498",7,12.943
"E01000344",9,6.105
"E01006521",3,26.67
"E01028278",4,25.542
"E01028161",5,18.522
"E01005789",10,5.095
"E01000368",2,33.932
"E01030108",3,28.048
"E01029957",8,10.071
"E01028839",9,6.15
"E01028867",4,22.462
"E01000212",8,10.294
"E01000296",7,12.11
"E01029996",3,31.833
"E01000204",8,10.063
"E01029971",2,35.609
"E01028594",10,5.566
"E01028635",5,18.408
"E01028705",10,4.391
"E01030134",6,17.155
"E01028810",10,3.782
"E01030244",4,23.556
"E01029254",10,4.565
"E01029358",1,48.565
"E01029281",4,23.799
"E01029208",5,19.384
"E01027995",7,12.126
"E01028142",6,15.403
"E01029363",5,19.77
"E01029253",5,19.927
"E01028239",4,21.893
"E01027730",10,4.822
"E01028317",5,20.276
"E01027751",9,8.302
"E01028211",4,22.613
"E01028245",2,39.411
"E01028192",4,26.531
"E01027869",1,47.465
"E01029046",1,44.109
"E01027872",2,42.084
"E01027848",8,10.32
"E01029038",4,23.4
"E01029319",8,11.104
"E01029055",7,12.331
"E01029464",5,19.311
"E01028131",7,12.733
"E01028184",8,10.676
"E01027993",7,11.793
"E01028085",7,12.262
"E01029305",5,18.461
"E01029322",5,19.039
"E01029063",7,11.793
"E01012194",2,35.351
"E01012243",8,11.095
"E01000412",9,8.605
"E01012258",1,47.444
"E01012210",9,7.907
"E01012747",6,14.745
"E01012317",5,18.443
"E01012494",9,6.415
"E01012304",1,69.177
"E01000396",9,8.072
"E01029360",3,29.989
"E01028449",2,35.861
"E01012966",4,24.854
"E01000291",3,32.936
"E01012288",1,50.977
"E01000485",3,29.651
"E01028368",10,3.455
"E01000568",6,14.257
"E01012784",3,31.045
"E01028057",2,39.677
"E01028065",1,57.047
"E01028251",8,10.185
"E01028322",6,16.829
"E01012908",1,57.957
"E01012872",2,35.755
"E01012775",2,39.285
"E01012807",3,28.606
"E01000569",8,9.462
"E01000459",6,14.438
"E01012898",1,49.572
"E01016353",3,31.272
"E01016332",7,13.65
"E01014634",8,11.263
"E01022691",10,4.817
"E01015479",5,20.625
"E01016395",4,22.743
"E01016746",3,30.166
"E01016359",5,19.315
"E01016238",9,8.197
"E01014748",9,6.863
"E01016072",3,26.59
"E01016051",10,3.684
"E01014795",5,19.637
"E01014671",5,17.853
"E01014601",3,30.365
"E01018330",8,11.005
"E01018258",10,2.913
"E01010366",1,49.623
"E01018246",8,10.449
"E01010159",4,22.328
"E01015457",7,11.982
"E01010671",3,27.791
"E01010568",8,10.903
"E01016143",4,23.378
"E01016758",8,8.616
"E01016114",3,31.603
"E01016547",9,8.367
"E01010526",2,37.33
"E01010466",1,49.347
"E01016442",3,27.388
"E01015987",3,30.831
"E01015496",6,14.498
"E01015975",4,21.64
"E01015565",8,10.886
"E01015399",10,2.368
"E01015458",10,4.532
"E01015484",8,11.169
"E01015465",4,24.856
"E01030878",10,2.358
"E01031036",9,8.211
"E01031117",3,26.896
"E01030972",7,13.019
"E01015697",9,5.942
"E01015433",10,5.438
"E01015722",4,22.308
"E01015560",7,12.351
"E01015863",6,15.115
"E01015690",8,9.269
"E01015615",2,34.768
"E01016241",5,19.029
"E01016225",7,11.705
"E01015906",4,25.519
"E01016154",3,31.451
"E01015786",5,21.392
"E01016074",4,25.333
"E01015404",10,4.549
"E01015939",9,7.951
"E01015792",4,24.092
"E01015737",3,29.173
"E01015814",6,14.817
"E01017122",4,24.217
"E01031263",5,19.156
"E01017059",8,9.897
"E01017170",3,29.16
"E01016857",5,19.741
"E01016799",8,9.995
"E01017146",10,5.749
"E01016917",8,10.749
"E01017928",7,13.345
"E01017869",10,4.215
"E01018603",10,1.518
"E01017835",7,13.788
"E01017920",9,8.516
"E01017097",5,19.478
"E01010251",9,6.411
"E01031274",5,19.497
"E01031264",3,29.543
"E01031512",5,19.125
"E01031478",7,13.506
"E01031144",5,17.785
"E01017177",6,16.246
"E01031229",6,14.343
"E01031118",2,42.418
"E01017168",2,42.512
"E01031151",9,7.494
"E01017162",4,24.356
"E01017175",8,11.082
"E01031220",9,7.621
"E01031556",3,27.373
"E01031511",10,4.833
"E01022591",8,11.041
"E01018299",9,8.405
"E01018494",9,7.271
"E01022658",9,7.61
"E01017475",5,20.253
"E01017969",7,13.31
"E01022698",10,5.72
"E01022716",6,14.62
"E01018424",8,11.281
"E01018560",9,7.522
"E01010428",2,38.045
"E01015518",10,3.272
"E01018344",9,7.425
"E01018337",3,28.95
"E01018438",10,3.112
"E01017626",10,4.378
"E01010318",1,47.461
"E01017435",7,13.666
"E01017432",9,7.526
